"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 2","tests","Tue Mar 10 10:27:39 UTC 2026","passed","Tue Mar 10 10:27:40 UTC 2026","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","29","Verify presence and visibility of content on the page","tests","Tue Mar 10 10:13:24 UTC 2026","passed","Tue Mar 10 10:13:24 UTC 2026","TestExercisesRuSimilarPhrasesPage","exercises_ru_similar_phrases_page_test","",""
"","251","Verify values of the text in links, buttons in the Header for an authorized user","tests","Tue Mar 10 10:22:59 UTC 2026","failed","Tue Mar 10 10:22:59 UTC 2026","TestHeaderPage","header_test","",""
"","1436","Verify if breadcrumbs links lead to correct pages after clicking","tests","Tue Mar 10 10:18:30 UTC 2026","passed","Tue Mar 10 10:18:31 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","71","Verify sizes of images in links on the page","tests","Tue Mar 10 10:21:56 UTC 2026","passed","Tue Mar 10 10:21:56 UTC 2026","TestGroupsPage","groups_page_test","",""
"","205","Verify redirection to used resources page not authorized user.","tests","Tue Mar 10 10:13:17 UTC 2026","passed","Tue Mar 10 10:13:17 UTC 2026","TestDescriptionPage","description_page_test","",""
"","309","Verify the dropdown opens/closes after clicking on the 'More' button in the Header 
            on the Start Unauthorized Page","tests","Tue Mar 10 10:22:32 UTC 2026","passed","Tue Mar 10 10:22:32 UTC 2026","TestHeaderPage","header_test","",""
"","200","Verify redirection to used resources page not authorized user.","tests","Tue Mar 10 10:24:35 UTC 2026","passed","Tue Mar 10 10:24:35 UTC 2026","TestMainPage","main_page_test","",""
"","109","Verify return main page from description page.","tests","Tue Mar 10 10:12:50 UTC 2026","passed","Tue Mar 10 10:12:50 UTC 2026","TestDescriptionPage","description_page_test","",""
"","13","Verify value of the title of the tab","tests","Tue Mar 10 10:26:50 UTC 2026","passed","Tue Mar 10 10:26:50 UTC 2026","TestSpecialistsPage","specialists_page_test","",""
"","883","Verify values of the text in card descriptions","tests","Tue Mar 10 10:12:28 UTC 2026","passed","Tue Mar 10 10:12:29 UTC 2026","TestContributorsPage","contributors_page_test","",""
"","12","Verify value of the title of the tab","tests","Tue Mar 10 10:27:42 UTC 2026","passed","Tue Mar 10 10:27:43 UTC 2026","TestStartUnauthorizedPage","start_unauthorized_page_test","",""
"","594","Verify presence and visibility of content on the page","tests","Tue Mar 10 10:15:50 UTC 2026","passed","Tue Mar 10 10:15:51 UTC 2026","TestExercisesRuWordsFamilyPage","exercises_ru_words_family_page_test","",""
"","1269","Verify redirection to telegram page not authorized user.","tests","Tue Mar 10 10:12:53 UTC 2026","passed","Tue Mar 10 10:12:55 UTC 2026","TestDescriptionPage","description_page_test","",""
"","703","Verify redirection to specialists page not authorized user.","tests","Tue Mar 10 10:24:23 UTC 2026","passed","Tue Mar 10 10:24:24 UTC 2026","TestMainPage","main_page_test","",""
"","122","Verify sizes of icons in sections","tests","Tue Mar 10 10:31:58 UTC 2026","passed","Tue Mar 10 10:31:59 UTC 2026","TestURPage","used_resources_page_test","",""
"","10738","Verify presence, visibility of lists on the page","tests","Tue Mar 10 10:16:15 UTC 2026","broken","Tue Mar 10 10:16:26 UTC 2026","TestExercisesRuWordsFamilyPage","exercises_ru_words_family_page_test","",""
"","739","Verify presence, visibility, clickability, href, prefix, status code of links in the section 2","tests","Tue Mar 10 10:11:50 UTC 2026","passed","Tue Mar 10 10:11:51 UTC 2026","TestContactsPage","contacts_page_test","",""
"","10440","Solutions to a random task in the ""Слова"" group and comparison of statics.","tests","Tue Mar 10 10:31:00 UTC 2026","skipped","Tue Mar 10 10:31:10 UTC 2026","TestCardsRU","Речевые упражнения.","",""
"","54","Verify text in the 'Contact us' link in the Footer","tests","Tue Mar 10 10:19:26 UTC 2026","passed","Tue Mar 10 10:19:26 UTC 2026","TestFooter","footer_test","",""
"","1017","Verify composition, visibility of elements on the 6st-10th levels of nesting on the page","tests","Tue Mar 10 10:16:02 UTC 2026","failed","Tue Mar 10 10:16:03 UTC 2026","TestExercisesRuWordsFamilyPage","exercises_ru_words_family_page_test","",""
"","64","Verify presence, visibility, attributes of icons in the Header for an authorized user","tests","Tue Mar 10 10:23:58 UTC 2026","failed","Tue Mar 10 10:23:58 UTC 2026","TestHeaderPage","header_test","",""
"","3998","Verify if series links 1-4 lead to correct pages after clicking","tests","Tue Mar 10 10:18:54 UTC 2026","passed","Tue Mar 10 10:18:58 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","11043","Select random card from group ""Слова"" and compare UI vs BACKEND data.","tests","Tue Mar 10 10:28:57 UTC 2026","skipped","Tue Mar 10 10:29:08 UTC 2026","TestCardsRU","Речевые упражнения.","",""
"","11024","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.","tests","Tue Mar 10 10:29:28 UTC 2026","skipped","Tue Mar 10 10:29:39 UTC 2026","TestCardsRU","Речевые упражнения.","",""
"","1402","Verify sizes of background-images in links on the page","tests","Tue Mar 10 10:19:10 UTC 2026","passed","Tue Mar 10 10:19:12 UTC 2026","TestExercisesRuWordsPage","exercises_ru_words_page_test","",""
"","25","test_gp_04_03_verify_images_alt_en","tests","Tue Mar 10 10:21:51 UTC 2026","passed","Tue Mar 10 10:21:51 UTC 2026","TestGroupsPage","groups_page_test","",""
"","282","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an unauthorized user","tests","Tue Mar 10 10:22:02 UTC 2026","passed","Tue Mar 10 10:22:02 UTC 2026","TestHeaderPage","header_test","",""
